Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6
1.0	-93.66	0.006528444744926829	128.0	0.5145394818517125	8.0	64.0	32.0
2.0	-87.28	0.0009166152620610717	512.0	0.17778120036884124	24.0	32.0	96.0
3.0	-93.2	0.008601339005559245	64.0	0.3237275676544705	32.0	32.0	32.0
4.0	-91.76	0.009934070741618697	64.0	0.5623781265823423	8.0	32.0	96.0
5.0	-91.36	0.0014326606202858239	128.0	0.5660408117343628	24.0	32.0	32.0
6.0	-11.35	0.008601963370793555	64.0	0.32361260987872004	32.0	32.0	32.0
7.0	-10.09	0.008601410671688372	64.0	0.32371517664758603	32.0	32.0	32.0
8.0	-87.66	0.008601104652231866	64.0	0.323717114125633	32.0	32.0	32.0
9.0	-65.88	0.0001	128.0	0.1	8.0	64.0	32.0
10.0	-92.65	0.008122679673203518	512.0	0.5591757616028913	8.0	64.0	128.0
11.0	-90.93	0.005679106444239976	512.0	0.5987637066884596	8.0	64.0	128.0
12.0	-91.77	0.005300938708689816	512.0	0.39921458300644785	8.0	64.0	128.0
13.0	-91.61	0.005055688801115027	512.0	0.6	8.0	64.0	128.0
