Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6
1.0	-91.83	0.009653570608249087	512.0	0.49937314069775784	8.0	32.0	96.0
2.0	-85.15	0.0002150769201787491	128.0	0.21252176961062016	32.0	16.0	32.0
3.0	-93.81	0.004930772880186737	256.0	0.16900157433386834	32.0	64.0	32.0
4.0	-90.87	0.00045857684681944425	128.0	0.2060103456236316	24.0	16.0	96.0
5.0	-95.52	0.008783875305394812	128.0	0.13916402805932146	16.0	32.0	32.0
6.0	-91.68	0.00813621381393242	128.0	0.3107869394799737	16.0	32.0	32.0
7.0	-95.47	0.00847078774771451	128.0	0.21991860772264485	16.0	32.0	32.0
8.0	-10.28	0.008466622813094024	128.0	0.22125930247852724	16.0	32.0	32.0
9.0	-89.8	0.006003890471990267	512.0	0.2613225741119015	32.0	48.0	128.0
10.0	-93.72	0.004849331874465917	512.0	0.39759298577762825	32.0	64.0	128.0
11.0	-93.04	0.003830611373154835	512.0	0.5668477890252687	32.0	64.0	128.0
12.0	-92.36	0.00847049332955155	512.0	0.5755366720578856	32.0	64.0	128.0
13.0	-92.28	0.0029672345254125035	512.0	0.5951044570295141	32.0	64.0	128.0
