Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6
1.0	-92.87	0.007677101016761654	512.0	0.18213771275894078	24.0	64.0	32.0
2.0	-96.15	0.001481378525766465	32.0	0.4558702638139591	32.0	48.0	64.0
3.0	-91.52	0.004669144408589858	512.0	0.23874732878258523	8.0	48.0	128.0
4.0	-95.43	0.005084695737957518	128.0	0.41232746708448575	16.0	48.0	64.0
5.0	-95.91	0.003117622164972596	32.0	0.26129487125359585	8.0	32.0	32.0
6.0	-95.84	0.0014895830885248978	32.0	0.4557781221019054	32.0	48.0	64.0
7.0	-96.35	0.0014854696634469641	32.0	0.45582415743700105	32.0	48.0	64.0
8.0	-92.68	0.01	32.0	0.6	32.0	64.0	32.0
9.0	-95.12	0.006884610383369684	32.0	0.23700356006192042	8.0	16.0	128.0
10.0	-95.84	0.006391854018099048	32.0	0.16513586059475047	32.0	16.0	32.0
11.0	-10.09	0.008634339523615793	32.0	0.1347310125535736	32.0	16.0	32.0
12.0	-82.34	0.004198997597007677	512.0	0.5168807804510326	8.0	64.0	128.0
13.0	-92.15	0.00263365405895565	512.0	0.5407718562335703	8.0	64.0	128.0
