iteration,accuracy,learning_rate,batch_size,dropout_rate,conv1_channels,conv2_channels,hidden_size,method
1,95.66,0.0026729045426383087,32.0,0.16175226422244884,16.0,48.0,32.0,Random
2,79.57,0.00020593584169780553,256.0,0.5276347598360465,16.0,16.0,96.0,Random
3,96.67,0.0069130344254739705,64.0,0.2389697300465247,24.0,32.0,96.0,Random
4,95.74,0.003401880129042766,64.0,0.4113593963293486,32.0,16.0,32.0,Random
5,90.46,0.00957724198381681,64.0,0.5372458958388346,16.0,16.0,128.0,Random
6,90.22,0.009969922277491272,512.0,0.49521117655239255,8.0,64.0,64.0,Random
7,92.42,0.00881608889988339,32.0,0.4353417394125678,16.0,16.0,128.0,Random
8,94.74,0.0042869536729260044,128.0,0.17628391563049386,16.0,16.0,32.0,Random
9,96.53,0.0039044684908181326,32.0,0.24157370325301789,24.0,32.0,96.0,Random
10,95.38,0.003364005561319072,256.0,0.2577995362933637,32.0,64.0,64.0,Random
11,90.13,0.007638270035035372,512.0,0.33816141481307027,16.0,48.0,64.0,Random
12,89.16,0.0006930833200796975,512.0,0.5886446718146783,16.0,48.0,96.0,Random
13,93.0,0.0031889633801997544,512.0,0.18005972225796793,24.0,32.0,64.0,Random
14,95.22,0.0010528342000554896,32.0,0.2700888517554738,32.0,32.0,32.0,Random
15,10.09,0.009360927573532142,256.0,0.5630176678678361,32.0,16.0,128.0,Random
16,95.92,0.004054414323363679,32.0,0.2849895233715878,24.0,48.0,96.0,Random
1,93.14,0.004897633439898646,128.0,0.3101771873608108,8.0,16.0,32.0,Bayesian Optimization (BO) EI
2,95.57,0.008824279750844757,32.0,0.4962735952591193,8.0,64.0,64.0,Bayesian Optimization (BO) EI
3,96.15,0.006553068556246873,256.0,0.1253114850431579,16.0,32.0,128.0,Bayesian Optimization (BO) EI
4,94.99,0.006956004046298675,32.0,0.4827637023583081,24.0,32.0,96.0,Bayesian Optimization (BO) EI
5,91.72,0.0076958725895592255,32.0,0.4181539186691423,24.0,64.0,128.0,Bayesian Optimization (BO) EI
